Role,Divisi,Perusahaan,Lokasi,Kriteria,Slot
1. Web Developer,e-Individual Learning Plans,Dankos,Kab. Bekasi,"Mahasiswa perguruan tinggi aktif yang menempuh semester 5 atau 6
Sehat jasmani dan rohani dan hasil antigen 2 hari sebelum onsite negatif
Berasal dari jurusan Teknik informatika, terkhusus web developer
Mampu berkomunikasi dengan baik dan bekerja dalam kelompok;
Memiliki inisiatif tinggi
Memiliki keinginan belajar (exploring) yang tinggi 
Menyukai teknologi baru",4
Mechanical Engineer,Manufacturing & Engineering Digitalization,Dankos,Kab. Bekasi,"●Mahasiswa aktif perguruan tinggi yang menempuh semester 5,6 & 7
●Berasal dari jurusan Teknik Mesin
●Dapat mengoperasikan software drawing 2D atau 3D mechanical
●Memiliki keinginan belajar yang tinggi dan mudah beradaptasi.
●Memiliki kemampuan komunikasi yang baik dan dapat bekerja kelompok
Bersedia ditempatkan di PT. Kalbe Farma Cikarang",2
Full Stack Developer,Digital Sparepart Management,Dankos,Kab. Bekasi,"Jurusan: Teknik Informatika atau jurusan lain yang setara
Jenjang: S1
Semester: Minimal semester 6

Kriteria hard skills:
- Javascript
- Linux
- Github
- PHP
- Menguasai dasar pemrograman web

Kriteria soft skills:
- Komunikasi
- Bekerja dalam tim
- Memiliki inisiatif tinggi
- Analitis
- Terstruktur

Kriteria Lainnya:
- Bersedia bekerja hybrid",2
3D Asset Designer,Extended Reality Learning Module Development Program,Dankos,Kab. Bekasi,"Jurusan	: Desain Produk/Desain Komunikasi Visual/ Animasi /Kejuruan Semisal
Jenjang 	: S1/D4
Semester	: Minimal Semester 6
Hardskills	: 
1. Memahami fundamental dalam pemodelan 2D/3D
2. Memahami macam macam aplikasi yang digunakan untuk melakukan Pemodelan 3D.
3. Memahami macam-macam output file model 3D beserta kegunaannya.
4. Mampu mengoperasikan aplikasi blender dalam melakukan pemodelan 3D.
5. Memiliki pengalaman dalam melakukan pemodelan 3D menggunakan blender (Lingkungan Virtual, Character, Benda)
6. Memahami setiap issue yang muncul dalam aktivitas pemodelan 3D dan mampu untuk melakukan trouble shoot.
7. Mampu melakukan editing media (audio, video, foto, vector)
8. Memahami konsep animasi 3D
9. Mampu membuat animasi 3D menggunakan aplikasi Blender
Softskills	: 
1. Mampu berkomunikasi dengan baik
2. Mampu bekerja individu maupun secara tim
3. Mampu melakukan Rootcause Analysis dan mengusulkan alternatif penyelesaian
4. Memiliki inisiatif yang tinggi
5. Mampu melakukan project activity management",10
Predictive Maintenance Analyst,Manufacturing & Engineering Digitalization,Dankos,Kab. Bekasi,"●Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 5, 6 dan 7
●Berasal dari jurusan Teknik Elektro/ Teknik Mesin
●Mampu berkomunikasi dan bekerja dalam kelompok dengan baik
●Memiliki inisiatif tinggi dan inovasi diri
●Bersedia di tempatkan di Kalbe Farma Cikarang",1
Fullstack Developer,QMS ( Quality Management System ),Dankos,Kab. Bekasi,"Jurusan: Teknik Informatika
Jenjang: S1
Semester: Minimal semester 6

Kriteria hard skills:
- .Net ( C# )
- React Js
- Figma ( UI )

Kriteria soft skills:
- Komunikasi
- Bekerja dalam tim
- Memiliki inisiatif tinggi
- Analitis
- Terstruktur

Kriteria Lainnya:
- Bersedia bekerja hybrid atau Onsite",4
2. Web Developer,Digitalization Pharma 4.0 in Plant Area,Dankos,Kab. Bekasi,"Jurusan: Teknik Informatika / Sistem Informatika / DKV
Jenjang: S1
Semester: Minimal semester 6

Kriteria hard skills:

- Basic SQL
- Basic PHP Framework (preferably laravel, CI)
- Basic HTML
- Basic Python

Kriteria soft skills:

- Memiliki ketertarikan dalam bidang digitalisasi 
- Bekerja dalam tim
- Komunikasi
- Insiatif tinggi
- Analistis dan terstruktur
- Troubleshooting",3
Electrical Engineer ,Manufacturing & Engineering Digitalization,Dankos,Kab. Bekasi,"●Mahasiswa aktif perguruan tinggi yang menempuh semester 5,6 & 7
●Berasal dari jurusan Teknik Elektro / Mesin
●Dapat mengoperasikan software drawing 2D atau 3D
●Memiliki Basic Electrical (Arus Kuat / Lemah) / Basic Mechanical
●Memiliki keinginan belajar yang tinggi dan mudah beradaptasi.
●Memiliki kemampuan komunikasi yang baik dan dapat bekerja kelompok
Bersedia ditempatkan di PT. Kalbe Farma Cikarang",3
XR Module Developer,Extended Reality Learning Module Development Program,Dankos,Kab. Bekasi,"1. Jurusan	: Information Technology (spesialisasi Animation and Game 
Technology) / Teknologi Rekayasa Perangkat Lunak / Teknologi Game /Kejuruan Semisal
2. Jenjang 	: S1/D4
3. Semester	: Minimal Semester 6
Hardskills	: 
1. Memahami fundamental dalam pengembangan game
2. Memahami fundamental teknologi extended reality khususnya Virtual Reality dan Augmented Reality.
3. Memahami macam game engine yang dapat digunakan dalam mendevelop game berbasis virtual reality dan augmented reality.
4. Mampu mengoperasikan aplikasi Unity untuk develop 3D Game berbasis Virtual Reality dan Augmented Reality.
5. Memahami fundamental C# scripting dan dapat menggunakannya untuk kebutuhan mendefinisikan behaviour object di unity.
6. Memahami setiap issue yang muncul dalam aktivitas development module dan mampu untuk melakukan trouble shoot.
7. Memahami fundamental 3D Object Modelling
8. Mampu melakukan 3D Modelling menggunakan Blender
9. Mampu melakukan editing media (audio, video, foto, vector)
Softskills	: 
1. Mampu berkomunikasi dengan baik
2. Mampu bekerja individu maupun secara tim
3. Mampu melakukan Rootcause Analysis dan mengusulkan alternatif penyelesaian
4. Memiliki inisiatif yang tinggi
5. Mampu melakukan project activity management",10
Learning Content Creator,Pharma BO LMS Development Course,Dankos,Kab. Bekasi,"Mahasiswa Farmasi / Apoteker sebanyak 13 orang
Mahasiswa Psikologi sebanyak 2 orang
1. Mahasiswa perguruan tinggi aktif yang menempuh semester 5 atau 6 (untuk Apoteker semester 3)
2. Sehat jasmani dan rohani dan hasil antigen 2 hari sebelum onsite negatif
3. Berasal dari jurusan Teknik informatika, farmasi/apoteker, Teknik mesin/elektronika
4. Mampu berkomunikasi dengan baik dan bekerja dalam kelompok;
5. Memiliki inisiatif tinggi
6. Memiliki keinginan belajar (exploring) yang tinggi 
7. Menyukai teknologi baru",15
Automation & IIoT Engineer,Manufacturing & Engineering Digitalization,Dankos,Kab. Bekasi,"●Mahasiswa aktif perguruan tinggi yang menempuh semester 5,6 & 7
●Berasal dari jurusan Teknik Elektro, Instrumentasi, Komputer dan Jaringan, Sistem Komputer, Mekatronika, Automasi Industri dan setara
●Memiliki keinginan belajar yang tinggi dan mudah beradaptasi.
●Memiliki interest di bidang IoT dan Industri 4.0
●Memiliki kemampuan komunikasi yang baik dan dapat bekerja kelompok
●Bersedia ditempatkan di PT. Kalbe Farma Cikarang",6
Product Sales,Metrodata Academy Ecosystem ,Metrodata Academy,Kota Jakarta Barat,"1. Terbuka untuk semua jurusan, preferable dari Jurusan IT dan Hotel  Management 
2. Minimal semester 5,6 atau 7
3.  Menguasai Microsoft Office
4. Dapat Bekerja Dalam Team
5. Mau Belajar Mandiri
6. Dapat berkomunikasi dengan baik 
7. Memiliki  Inisitiatif Yang Tinggi
8. Bersedia ditempatkan di Jakarta
",2
Telemarketing ,Metrodata Academy Ecosystem ,Metrodata Academy,Kota Jakarta Barat,"1. Mahasiswa / mahasiswi Perguruan Tinggi aktif di semester 5,6 dan 7
2. Berasal dari Jurusan Public Relations, Humas, Komunikasi, Bisnis, marketing, dll 
3. Mampu mengoperasikan komputer
4. Menguasai Ms Office Platform ( Microsoft Excel, Word, Powerpoint)
5. Kemampuan komunikasi yang baik
6. Memiliki kemampuan memahami bisnis dan sales
7. Memiliki inisiatif yang tinggi
8. Mampu melakukan presentasi di depan potential client
9. Bersedia ditempatkan di Jakarta 
",7
Content Creator ,Metrodata Academy Ecosystem ,Metrodata Academy,Kota Jakarta Barat,"1. Mahasiswa Perguruan Tinggi aktif di semester 5,6 dan 7
2. Berasal dari jurusan Ilmu Komunikasi, Advertising, Marketing Communication atau sejenis 
3. Menguasai Microsoft Office dan Google Drive Platform
4. Memahami dasar adobe photoshop
5. Pengguna media sosial
6. Kemampuan komunikasi yang baik
7. Dapat bekerja dalam kelompok
8. Memiliki Inisiatif yang tinggi
9. Bersedia ditempatkan di Jakarta 
",1
Campus Relation,Metrodata Academy Ecosystem ,Metrodata Academy,Kota Jakarta Barat,"1. Mahasiswa  /  mahasiswi Perguruan Tinggi aktif di semester 5,6 dan 7
2. Berasal dari Jurusan Public Relations, Humas, Komunikasi, Bisnis, Manajemen, dll
3.  Mampu mengoperasikan komputer
4. Menguasai Ms Office Platform ( Microsoft Excel, Word, Powerpoint)
5. Kemampuan komunikasi yang baik
6. Memiliki kemampuan memahami bisnis dan sales
7. Memiliki inisiatif yang tinggi
8. Mempunyai ketelitian yang tinggi
9. Mampu melakukan presentasi di depan potential client
",3
Digital Marketing ,Metrodata Academy Ecosystem ,Metrodata Academy,Kota Jakarta Barat,"1. Mahasiswa Perguruan Tinggi aktif di semester 5,6 dan 7
2. Berasal dari jurusan Ilmu Komunikasi, Advertising, Marketing Communication atau sejenis 
3. Menguasai Microsoft Office dan Google Drive Platform
4. Memahami dasar adobe photoshop
5. Pengguna media sosial
6. Kemampuan komunikasi yang baik
7. Dapat bekerja dalam kelompok
8. Memiliki Inisiatif yang tinggi
9. Bersedia ditempatkan di Jakarta 

",1
IT Trainer,Metrodata Academy Ecosystem ,Metrodata Academy,Kota Jakarta Barat,"Kriteria mahasiswa yang dibutuhkan:
•	Mahasiswa Perguruan Tinggi aktif di semester 5,6,7
•	Berasal dari Jurusan Teknik Informatika, Sistem Informasi, dan Jurusan sejenis
•	Kemampuan komunikasi yang baik
•	Dapat bekerja dalam kelompok
•	Memiliki Inisiatif yang tinggi
•	Bersedia ditempatkan di Jakarta",15
Digital Business Representatives,Metrodata Academy Ecosystem ,Metrodata Academy,Kota Jakarta Barat,"1. Minimal Semester 5,6,atau 7 di Jurusan Marketing, Bisnis, Ekonomi, Komunikasi, Manajemen, dan jurusan sejenis 
2. Mempunyai kemampuan komunikasi dan interpersonal skills yang  cukup baik 
3. Dapat bekerja di dalam tim dan fast - paced environment 
4. Team player.
5. Mempunyai self-motivated  dan ingin belajar terkait dunia  digital bisnis 
6.  Cukup fluent in English.
",5
HR Officer,Metrodata Academy Ecosystem ,Metrodata Academy,Kota Jakarta Barat,"1. Mahasiswa Psikologi/Manajemen SDM/Teknik Industri 
2. Mahasiswa aktif yang sedang menempuh semester 6 atau 7
3. Mampu berkomunikasi dengan baik
4. Memiliki inisiatif yang tinggi
5. Memiliki notebook/laptop pribadi
6. Bersedia ditempatkan di Jakarta
",6
Office Administrator ,Metrodata Academy Ecosystem ,Metrodata Academy,Kota Jakarta Barat,"1. Mahasiswi Perguruan Tinggi aktif di semester 5,6 dan 7
2. Berasal dari Jurusan Administrasi bisnis, administrasi perkantoran, dan jurusan sejenis
3. Mampu mengoperasikan komputer
4. Menguasai Ms Office Platform ( Microsoft Excel, Word, Powerpoint)
5. Kemampuan komunikasi yang baik
6. Dapat bekerja dalam kelompok
7. Memiliki inisiatif yang tinggi
8. Mempunyai ketelitian yang tinggi
9. Bersedia ditempatkan di Jakarta 
",5
Technical Consultant Analyst ,Metrodata Academy Ecosystem ,Metrodata Academy,Kota Jakarta Barat,"1. Berasal dari jurusan Teknik informatika, Teknik Komputer, Ilmu Komputer 
2. Minimal semester 5,6 atau 7
3. Mengetahui, memahami, dan menguasai bahasa pemrograman OOP seperti Java, .Net, PHP, Ruby, Phyton
4. Menguasai SQL
5. Dapat Bekerja Dalam Team
6. Mau Belajar Mandiri
7. Dapat berkomunikasi dengan baik 
8. Memiliki  Inisitiatif Yang Tinggi
9. Mempunyai critical thinking dan daya analisis yang cukup bagus
10. Bersedia ditempatkan di Jakarta
",10
Employer Branding ,Metrodata Academy Ecosystem ,Metrodata Academy,Kota Jakarta Barat,"1. Mahasiswa Komunikasi / Desain Komunikasi Visual
2. Mahasiswa aktif yang sedang menempuh semester 6 atau 7
3. Mampu berkomunikasi dengan baik
4. Memiliki inisiatif yang tinggi
5. Memiliki notebook/laptop pribadi
6. Bersedia ditempatkan di Jakarta
",2
Low Code Application,Metrodata Academy Ecosystem ,Metrodata Academy,Kota Jakarta Barat,"1. Berasal dari jurusan Teknik informatika, Teknik Komputer, Ilmu Komputer 
2. Minimal semester 5,6 atau 7
3. Mengetahui, memahami, dan menguasai bahasa pemrograman .Net / Java / PHP
4. Dapat Bekerja Dalam Team
5. Mau Belajar Mandiri
6. Dapat berkomunikasi dengan baik 
7. Memiliki  Inisiataif Yang Tinggi
8. Mempunyai critical thinking dan daya analisis yang cukup bagus
9. Bersedia ditempatkan di Jakarta
",15
Videographer dan Editor,Metrodata Academy Ecosystem ,Metrodata Academy,Kota Jakarta Barat,"1. Mahasiswa Perguruan Tinggi aktif di semester 5,6 dan 7
2. Berasal dari Jurusan DKV, Teknik Informatika, Sistem informasi dan jurusan sejenis
3. Mengenal dan pernah memakai Adobe Ilustrator, Adobe Photoshop, Adobe Premier, Adobe After Effect
4. Menguasai Ms Office dan Google Drive Platform
5. Pengguna media sosial dan creative
6. Kemampuan komunikasi yang baik
7. Dapat bekerja dalam kelompok
8. Memiliki Inisiatif yang tinggi
 9. Bersedia ditempatkan di Jakarta 
",2
Copy Writer,Metrodata Academy Ecosystem ,Metrodata Academy,Kota Jakarta Barat,"1. Mahasiswa Perguruan Tinggi aktif di semester 5,6 dan 7
2. Berasal dari jurusan Ilmu Komunikasi, Advertising, Marketing Communication atau sejenis 
3. Menguasai Microsoft Office dan Google Drive Platform
4. Memahami dasar adobe photoshop
5. Pengguna media sosial
6. Kemampuan komunikasi yang baik
7. Dapat bekerja dalam kelompok
8. Memiliki Inisiatif yang tinggi
9. Bersedia ditempatkan di Jakarta 
",2
Graphic Designer,Metrodata Academy Ecosystem ,Metrodata Academy,Kota Jakarta Barat,"1. Mahasiswa Perguruan Tinggi aktif di semester 5,6 dan 7
2. Berasal dari Jurusan DKV, Teknik Informatika, Sistem informasi dan jurusan sejenis
3. Mengenal dan pernah memakai Adobe Ilustrator, Adobe Photoshop, Adobe Premier, Adobe After Effect
4. Menguasai Ms Office dan Google Drive Platform
5. Pengguna media sosial
6. Kemampuan komunikasi yang baik
7. Dapat bekerja dalam kelompok
8. Memiliki Inisiatif yang tinggi
9. Bersedia ditempatkan di Jakarta 
",2
HRIS ( Human Resource Information System),Metrodata Academy Ecosystem ,Metrodata Academy,Kota Jakarta Barat,"1. Mahasiswa Teknik Informatika, Sistem Informasi , Ilmu Komputer, Teknik Komputer, dan jurusan sejenis 
2. Mahasiswa aktif yang sedang menempuh semester 6 atau 7
3. Mampu berkomunikasi dengan baik
4. Memiliki inisiatif yang tinggi
5. Memiliki notebook/laptop pribadi
6. Bersedia ditempatkan di Jakarta
",2
Application Developer,Metrodata Academy Ecosystem ,Metrodata Academy,Kota Jakarta Barat,"Kriteria mahasiswa yang dibutuhkan:
•	Mahasiswa Perguruan Tinggi aktif di semester 5,6,7
•	Berasal dari Jurusan Teknik Informatika, Sistem Informasi, dan Jurusan sejenis
•	Kemampuan komunikasi yang baik
•	Dapat bekerja dalam kelompok
•	Memiliki Inisiatif yang tinggi
•	Bersedia ditempatkan di Jakarta",16
System Analyst,Metrodata Academy Ecosystem ,Metrodata Academy,Kota Jakarta Barat,"1.	Mahasiswa Perguruan Tinggi aktif di semester 5, 6 atau 7
2.	Berasal dari Jurusan Teknik Informatika, Sistem Informasi, MIPA, dan sejenis 
3.	Kemampuan komunikasi yang baik
4.	Dapat bekerja dalam kelompok
5.	Memiliki Inisiatif yang tinggi
6.	Bersedia ditempatkan di Jakarta ataupun Remote
7.	Mempunyai basic pemahaman tentang logic pemrograman
8.	Mempunyai daya analisa yang cukup baik

",1
Sales Executive,Metrodata Academy Ecosystem ,Metrodata Academy,Kota Jakarta Barat,"1. Terbuka untuk semua jurusan
2. Minimal semester 5,6 atau 7
3.  Menguasai Microsoft Office
4.	Dapat Bekerja Dalam Team
5.	Mau Belajar Mandiri
6. Dapat berkomunikasi dengan baik 
7. Memiliki  Inisitiatif Yang Tinggi
8. Mempunyai critical thinking dan daya analisis yang cukup bagus
9. Berpenampilan Menarik
10. Bersedia ditempatkan di Jakarta

",2
IT Quality Assurance (QA),Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), Jurusan:
1. Ilmu Komputer
2. Teknologi Rekayasa Perangkat Lunak
3. Teknik Informatika 
4. Sistem Informasi

Kriteria Hard Skills
1. Memiliki pengetahuan Whitebox/Blackbox testing
2. Memiliki pengetahuan REST API, Postgre DB, Flutter, NodeJS, ExpressJS, ReactJS, Laravel dan Firebase
3. Memiliki pengetahuan metodologi & tools QA Software
4. Kemampuan untuk menulis dokumentasi teknis
5. Memahami proses Bug Tracking, ticketing dan testing

Kriteria Soft Skills:
1. Berkolaborasi dan team work
2. Berkomunikasi efektif, baik secara interpersonal dan digital
3. Beradaptasi
4. Kreativitas dan improvisasi
5. Berfikir Analitis
6. Dapat memberikan dan mempertahankan kinerja yang baik
7. Manajemen waktu yang baik",4
LEARNING DESIGN & COMPETENCY ASSESSOR ,Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), FAKULTAS:
1.  Ilmu Pendidikan
2. Ekonomi, Manajemen, Bisnis dan Akuntansi
3. Ilmu administrasi
4. Bahasa & Sastra (Inggris)
5. Ilmu Psikologi

Kriteria hard skills:
1. Membuat alat tes dan penilaian, yang sesuai dengan formula standar kelulusan program Kampus Gratis.

2. Menerapkan teknologi digital dalam membuat instrumen, dan menganalisis kompetensi dan persentase Lulusan Kampus Gratis yang bekerja pada bidang yang sesuai dengan keahliannya  (Membuat Materi dan alat tes terkait).

3. Merumuskan CPL, CPMK, dan sub-CPMK berdasarkan Taksonomi Bloom, diintegrasikan pembelajaran HOTS dalam pembuatan silabus dan modul pembelajaran online.

4. Merekonstruksi instrumen assesment sesuai kebutuhan pelatihan.
5. Melakukan evaluasi proses dan hasil pembelajaran secara berkelanjutan, yang mendukung pengembangan perusahaan.
6. . Membuat silabus dan Capaian Pembelajaran Lulusan
7. . Membuat Rencana dan Desain pembelajaran 

Kriteria Soft Skills:
1. Berkolaborasi dan team work.
2. Berkomunikasi efektif: baik secara interpersonal dan digital
3. Beradaptasi.
4. Kreativitas dan improvisasi.
5. Analitis.
6. Inisiatif.",6
DIGITAL BROADCASTER & PUBLIC SPEAKER (PRODUCER),Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), FAKULTAS:
1. Keguruan dan ilmu Pendidikan
2. Pendidikan Teknologi dan Kejuruan  
3. Ilmu Bahasa (lebih disukai Inggris)
4. Sastra (Lebih disukai Inggris)
5. Ekonomi, Bisnis, Manajemen, Akuntansi
6. Ilmu Sosial dan Ilmu Politik
7. Ilmu Komunikasi
8. Ilmu Psikologi

Kriteria hard skills:
1. Asessment
2. Membuat alat tes
3. Microsoft Office
",10
Apps Developer with Flutter,Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), Jurusan:
1.  Ilmu Komputer (programming). 
2. Teknologi Rekayasa Perangkat Lunak. 
3. Teknik Informatika. 
4. Sistem Informasi.

Kriteria Hard Skills
1. Flutter framework
2. Programming API.
3. Firebase
4. Postman
5. Git

Kriteria Soft Skills:
1. Berkolaborasi dan team work.
2. Berkomunikasi efektif: baik secara interpersonal dan digital
3. Beradaptasi.
4. Kreativitas dan improvisasi.
5. Analitis.",5
Front End Developer & API Integrator (KG Project),Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), Jurusan:
1. Ilmu Komputer 
2. Teknologi Rekayasa Perangkat Lunak
3. Teknik Informatika
4. Sistem Informasi

Kriteria Hard Skills
1. React JS framework
2. Programming API.
3. Firebase
4. Postman
5. Git

Kriteria Soft Skills:
1. Berkolaborasi dan team work.
2. Berkomunikasi efektif: baik secara interpersonal dan digital
3. Beradaptasi.
4. Kreativitas dan improvisasi.
5. Analitis.",5
Front End Developer ,Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), Jurusan:
1.  Ilmu Komputer (programming). 
2. Teknologi Rekayasa Perangkat Lunak. 
3. Teknik Informatika. 
4. Sistem Informasi.

Kriteria Hard Skills
1. React JS framework
2. Programming API.
3. Firebase
4. Postman
5. Git

Kriteria Soft Skills:
1. Berkolaborasi dan team work.
2. Berkomunikasi efektif: baik secara interpersonal dan digital
3. Beradaptasi.
4. Kreativitas dan improvisasi.
5. Analitis.",4
Back End Developer ,Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), Jurusan:
1.  Ilmu Komputer (programming). 
2. Teknologi Rekayasa Perangkat Lunak. 
3. Teknik Informatika. 
4. Sistem Informasi.

Kriteria Hard Skills
1. Express JS framework
2. Programming API.
3. PostgreSQL
3. Firebase
4. Postman
5. Git

Kriteria Soft Skills:
1. Berkolaborasi dan team work.
2. Berkomunikasi efektif: baik secara interpersonal dan digital
3. Beradaptasi.
4. Kreativitas dan improvisasi.
5. Analitis.",5
"Back End, API, & Database Developer (KG Project)",Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), Jurusan:
1.  Ilmu Komputer (programming). 
2. Teknologi Rekayasa Perangkat Lunak. 
3. Teknik Informatika. 
4. Sistem Informasi.

Kriteria Hard Skills
1. Express JS framework
2. Programming API.
3. PostgreSQL
3. Firebase
4. Postman
5. Git

Kriteria Soft Skills:
1. Berkolaborasi dan team work.
2. Berkomunikasi efektif: baik secara interpersonal dan digital
3. Beradaptasi.
4. Kreativitas dan improvisasi.
5. Analitis.",2
Project Management Officer (Non IT Project),Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), Jurusan:
1. Ilmu Komputer (programming)
2. Teknologi Rekayasa Perangkat Lunak
3. Teknik Informatika
4. Sistem Informasi
5. atau Jurusan yang berkaitan

Kriteria Hard Skills
1. Memahami security dan cryptography
2. Mengetahui Blockchain Logic
3. Memahami Web3
4. Familiar dengan Cryptocurrency
5. Memahami fundamental mekanisme enkripsi

Kriteria Soft Skills:
1. Berkolaborasi dan team work
2. Berkomunikasi efektif baik secara interpersonal dan digital
3. Beradaptasi
4. Kreativitas dan improvisasi
5. Analitis",2
Digital Marketing & Copy Writers,Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), FAKULTAS:
1. Ekonomi
2. Desain Kreatif & Bisnis Digital
3. Ilmu Sosial Politik
4. Ilmu Komunikasi
5. Desain Komunikasi Visual

Kriteria hard skills:
1. Canva
2. Microsoft Office
3. Desain konten

Kriteria Soft Skills:
1. Berkolaborasi dan team work.
2. Berkomunikasi efektif: baik secara interpersonal dan digital
3. Beradaptasi.
4. Kreativitas dan improvisasi.
5. Inisiatif",6
EVENT MANAGEMENT & EXTERNAL RELATION,Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 6), FAKULTAS:
Semua Jurusan

Kriteria hard skills:
1. Microsoft Office
2. Presentasi

Kriteria Soft Skills:
1. Berkolaborasi dan team work.
2. Berkomunikasi efektif: baik secara interpersonal dan digital
3. Beradaptasi.
4. Kreativitas dan improvisasi.
5. Inisiatif",4
Project Management Officer  (IT Project),Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), FAKULTAS:
1. ilmu administrasi
2. Ekonomi
3. Komunikasi
4. Teknologi Informasi
5. Rekayasa Perangkat Lunak

Kriteria Hard Skills:
1. Microsoft Office
2. Zoom

Kriteria Soft Skills:
1. Komunikasi
2. Bertanggung jawab
3. Kreatif dan inisiatif",4
"Programmer for XR, VR & AR Project (Unreal Engine) ",Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), Jurusan:
1. Ilmu Komputer
2. Teknologi Rekayasa Perangkat Lunak
3. Teknik Informatika
4. Sistem Informasi

Kriteria hard skills:
1. Game Editors (Unreal)
2. Game Prototype Creation
3. Adobe Photoshop
4. Microsoft Office
5. Game Development

Kriteria Soft Skills:
1. Berkolaborasi dan team work.
2. Berkomunikasi efektif: baik secara interpersonal dan digital
3. Beradaptasi.
4. Kreativitas dan improvisasi.
5. Terbiasa Ngulik",3
SCRIPT WRITER & STORYBOARDING ,Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), FAKULTAS:
1.  Ilmu Pendidikan
2. Ekonomi, Manajemen, Bisnis dan Akuntansi
3. Ilmu administrasi
4. Bahasa & Sastra (Inggris)
5. Ilmu Psikologi
6. Seni Perfilman

Kriteria hard skills:
1.  Membuat Script pelatihan digital, Copy Writing artikel dan Story boarding 
2. Membuat silabus dan Capaian Pembelajaran Lulusan
3. Membuat Rencana dan Desain pembelajaran 
4. Membuat Materi dan alat tes.

Kriteria Soft Skills:
1. Berkolaborasi dan team work.
2. Berkomunikasi efektif: baik secara interpersonal dan digital
3. Beradaptasi.
4. Kreativitas dan improvisasi.
5. Analitis.
6. Inisiatif.



",19
iOS Developer,Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), Jurusan:
1. Ilmu Komputer
2. Teknologi Rekayasa Perangkat Lunak
3. Teknik Informatika
4. Sistem Informasi
5. atau Jurusan yang berkaitan

Kriteria Hard Skills
1. Memiliki portofolio aplikasi iOS
2. Memiliki pengetahuan bahasa pemrograman iOS seperti Swift
3. Memahami third-party libraries dan API
4. Familiar dengan Pemrograman Berorientasi Obyek (OOP)
5. Memiliki device pendukung pembuatan aplikasi iOS

Kriteria Soft Skills:
1. Berkolaborasi dan team work
2. Berkomunikasi efektif baik secara interpersonal dan digital
3. Beradaptasi
4. Kreativitas dan improvisasi
5. Analitis",2
Pembuat Materi Pelatihan Teknologi Informasi & Manajemen Proyek  ,Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), FAKULTAS:
1. Ilmu Komputer (programming). 
2. Teknologi Rekayasa Perangkat Lunak. 
3. Teknik Informatika. 
4.Sistem Informasi.

Memiliki pengetahuan umum mengenai
1. Digitalisasi 5.0
2. UI dan UX
3. Solusi IT secara umum
4. Pemrograman Algoritma & AI.
5. Perkembangan Blockchain, AI, Cyber Security, Metaverse & Virtual Reality.",6
